username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BunnyButtt;2018-09-26 15:35;0;0;"Thanks dear long time no speak, hope all is well for you! DM me or msg on fb any time for a catch up";https://ko-fi.com/cubbybunneh;;;"1045079417150754817";https://twitter.com/BunnyButtt/status/1045079417150754817
hirokazu0923;2018-09-26 15:35;0;0;"おはようございます。";秋葉原＝千葉市;;;"1045079410573893632";https://twitter.com/hirokazu0923/status/1045079410573893632
AlviarCamille;2018-09-26 15:35;0;0;"Hehehe love you";;;;"1045079410464894976";https://twitter.com/AlviarCamille/status/1045079410464894976
_h0704y_;2018-09-26 15:35;0;0;"ちぇよーんの目ん玉可愛すぎでは？控えめに言ってもアジュナイス";日本 大阪府;;;"1045079409302982656";https://twitter.com/_h0704y_/status/1045079409302982656
kokoron0118;2018-09-26 15:35;0;0;"きゅんとする漫画配信中 抽選で100名様にカネボウ # エビータの黒 のオールインワンジェルが当たるかも マンガの続きはこちら https://goo.gl/yBrjuB";;;#;"1045079409059749889";https://twitter.com/kokoron0118/status/1045079409059749889
Shidamanaka_21;2018-09-26 15:35;0;0;"女の子とラブラブかぁ 私もしたいなぁ";平手友梨奈しか＿＿＿＿＿;;;"1045079408598376448";https://twitter.com/Shidamanaka_21/status/1045079408598376448
nyanchararin;2018-09-26 15:35;0;0;"@ fo_Hi_0911 いいねありがとですフォローさせてもらいました";レペゼン地球 🌎埼玉;@;;"1045079406450855936";https://twitter.com/nyanchararin/status/1045079406450855936
nori0905ports;2018-09-26 15:35;0;0;"おはよ〜";安芸の国 広島;;;"1045079405393924096";https://twitter.com/nori0905ports/status/1045079405393924096
momo_five_k1;2018-09-26 15:35;0;0;"なんなんこの可愛さ、爽やかさ若いって素晴らしい 行ってらっしゃい";兵庫 加古川市;;;"1045079402193674240";https://twitter.com/momo_five_k1/status/1045079402193674240
eyelash_ty;2018-09-26 15:35;0;0;"マツエクモデル募集中です デザイン自由です 募集日時 9/27 ・10:00~ 残りこちらの1枠のみです ご予約は先着順です DMかリプにてご予約お待ちしております # マツエク # マツエクモデル # まつえく # まつエク # まつエクモデル # マツエク新宿pic.twitter.com/pnKRweISh1";新宿西口;;# # # # # #;"1045079401904259072";https://twitter.com/eyelash_ty/status/1045079401904259072
karlachavz;2018-09-26 15:35;0;0;"Respira un nuevo aire, una nueva ilusión";;;;"1045079400360935424";https://twitter.com/karlachavz/status/1045079400360935424
tiffaaaanys_;2018-09-26 15:35;0;0;"hurry December I’m so pressed";seyvn  ❤️;;;"1045079399891177472";https://twitter.com/tiffaaaanys_/status/1045079399891177472
AYouchin;2018-09-26 15:35;0;0;"最強女パワー発揮してね";;;;"1045079399647797248";https://twitter.com/AYouchin/status/1045079399647797248
gkt_0829;2018-09-26 15:35;0;0;"ホワ子ありがと";;;;"1045079397064007680";https://twitter.com/gkt_0829/status/1045079397064007680
tomomori34;2018-09-26 15:35;0;0;"また明日. J-WAVE ZAPPA: http://fw.to/YWHQBbg";東京都;;;"1045079394245627906";https://twitter.com/tomomori34/status/1045079394245627906
wYCzgTTlEB00gsB;2018-09-26 15:35;0;0;"今年は6区を走ります ありがとうございます";;;;"1045079393024933888";https://twitter.com/wYCzgTTlEB00gsB/status/1045079393024933888
GRkla_04;2018-09-26 15:35;0;0;"@ GReeeeN_kahoooo かほちゃんお誕生日おめでとう 今年のツアーお互い推しに会えたの強いね(笑) うちの受験が終わったらじめましようね遊ぼうね！！！ またこれからも絡んでください！ いい1年になりますように";低浮上 通知OFF;@;;"1045079392756486144";https://twitter.com/GRkla_04/status/1045079392756486144
qQ9Bz2aIORS61xW;2018-09-26 15:35;0;0;"ぱぁすけヽ( ・∀・)ﾉおはよう 今日のはもお仕事頑張って下さいファイトです 癒される♪( ´∀｀)人(´∀｀ )♪";Kyūshū, Miyazaki;;;"1045079390130921472";https://twitter.com/qQ9Bz2aIORS61xW/status/1045079390130921472
thestacysofar;2018-09-26 15:35;0;0;"Shorty had flowers brought to her this morning";Wisconsin, USA;;;"1045079389640302592";https://twitter.com/thestacysofar/status/1045079389640302592
youyoshi0422;2018-09-26 15:35;1;1;"次に買いたいお洋服 pic.twitter.com/MqjyOxVZzT";;;;"1045079389405208578";https://twitter.com/youyoshi0422/status/1045079389405208578
Socially_Anti_;2018-09-26 15:35;0;0;"https://twitter.com/platini_954/status/1044617721256849408 …";somewhere sittin pretty.;;;"1045079388704976896";https://twitter.com/Socially_Anti_/status/1045079388704976896
sakiari1221;2018-09-26 15:35;0;0;"初めてまして さきって言います 良かったら仲良くしてください";;;;"1045079387333308416";https://twitter.com/sakiari1221/status/1045079387333308416
yurarara12;2018-09-26 15:35;0;0;"お互いに不安で喧嘩しちゃうこともありますよね。彼を信じて頑張りましょう！応援していますよ";;;;"1045079383600316416";https://twitter.com/yurarara12/status/1045079383600316416
deco_eternal;2018-09-26 15:35;0;0;"先日オーダー頂いた タント スワロフスキー スワロはやはりキラッキラで存在感がありますね〜 無事に到着して可愛いですのご感想頂きました 気に入って頂き嬉しい m様ありがとうございました 次はオーダー品クラウン4点の作成開始 # ハンドメイド好きさんとつながりたい # カスタムpic.twitter.com/ehd4sRVWOn";日本;;# #;"1045079383461916672";https://twitter.com/deco_eternal/status/1045079383461916672
WTR_NGT;2018-09-26 15:35;0;0;"sleep tight pic.twitter.com/hBiGQHD1WE";HOKKAIDO JAPAN;;;"1045079382740545536";https://twitter.com/WTR_NGT/status/1045079382740545536
naonao7532;2018-09-26 15:35;0;1;"今日は9月27日、女性ドライバーの日だよ。今度おかっぱちゃんに仕事頼もう # 推しカレンダー # 高倉萌香 # おかっぱ # もえかぴ # ﾔｯﾊﾟｵｶｯﾊﾟﾀﾞﾅｧ # 日本単推し協会pic.twitter.com/EFwWht4lBE";日本単推し協会 東京本部;;# # # # # #;"1045079378227384320";https://twitter.com/naonao7532/status/1045079378227384320
sexygirlGT;2018-09-26 15:35;0;0;"";En todos lados.;;;"1045079377896239104";https://twitter.com/sexygirlGT/status/1045079377896239104
JxUzmMNHscsJ7rm;2018-09-26 15:35;0;0;"はじめまして！ フォローよろしいですか？？";だいちぃ 📩➜2018/09/25 💗;;;"1045079376348340224";https://twitter.com/JxUzmMNHscsJ7rm/status/1045079376348340224
m13k3CBF7;2018-09-26 15:35;0;1;"ありがとう";日本;;;"1045079375459246081";https://twitter.com/m13k3CBF7/status/1045079375459246081
kqaEraGpkc4DujE;2018-09-26 15:35;0;0;"全然大丈夫です またお願いします";;;;"1045079372791570432";https://twitter.com/kqaEraGpkc4DujE/status/1045079372791570432
chihiroleon;2018-09-26 15:35;0;0;"市内から離れてるって聞いたよ？ ほんとに。 米津さんがまずは、飛行機飛んで 来てくれることが先決かも(笑) この会場は、うちからも近いし 地下鉄で行けるから便利なの ↑行く気満々(笑) でもね、道内のファンがここに 集中するのよ...私、そんなに簡単に当たらない気もしてる";;;;"1045079372565114880";https://twitter.com/chihiroleon/status/1045079372565114880
snvbn1;2018-09-26 15:35;0;1;"Yürek gene dayanmadı tabi";;;;"1045079372380745728";https://twitter.com/snvbn1/status/1045079372380745728
ayapi_kawacolle;2018-09-26 15:35;0;0;"おはようございます初リプありがとうございますわーありがとうございます楽しみにしてます";;;;"1045079371885744129";https://twitter.com/ayapi_kawacolle/status/1045079371885744129
QK_rabbit;2018-09-26 15:35;0;0;"仲良いなぁ…末永くお幸せに…";東方同人サークル：うさ亭;;;"1045079370841260032";https://twitter.com/QK_rabbit/status/1045079370841260032
Danny5phantom;2018-09-26 15:35;0;0;"Cause you know ima get wings today lol";;;;"1045079366302986240";https://twitter.com/Danny5phantom/status/1045079366302986240
rrkn_n;2018-09-26 15:35;0;0;"青江";瑠璃☞こっち;;;"1045079364814000128";https://twitter.com/rrkn_n/status/1045079364814000128
BABYMETALNANA1;2018-09-26 15:35;0;1;"気持ちがいい天気が続いてますねー(￣▽￣)すぅちゃんもどこかで桜を見上げてるかもですね… # BABYMETAL好きならRT # BABYMETAL # BABYMETAL大好きpic.twitter.com/BS0U751fYI";;;# # #;"1045079364230995968";https://twitter.com/BABYMETALNANA1/status/1045079364230995968
MKYSAVE;2018-09-26 15:35;0;1;"Wow you’re cute pic.twitter.com/xjZepBjhrM";Forth Worth, TX;;;"1045079362670940160";https://twitter.com/MKYSAVE/status/1045079362670940160
Itsyourxdestiny;2018-09-26 15:35;0;0;"https://twitter.com/xicanitabonita/status/1044449202363752448 …";;;;"1045079360980635648";https://twitter.com/Itsyourxdestiny/status/1045079360980635648
nikolx_m;2018-09-26 15:35;0;0;"";Holywood, Northern Ireland;;;"1045079359487455234";https://twitter.com/nikolx_m/status/1045079359487455234
yukinomama07;2018-09-26 15:35;0;0;"あ！その持ち上げてる手で洗ってあげるんですねベテラン臭がすごい…！←間違って解釈していたらすみません アドバイスありがとうございます(｀・ω・´)";東京都＆大阪府;;;"1045079358790983681";https://twitter.com/yukinomama07/status/1045079358790983681
nemuisono_;2018-09-26 15:35;0;0;"イベじゃなくても普通にこまちゃんに会いに行きたい…";;;;"1045079358417723397";https://twitter.com/nemuisono_/status/1045079358417723397
The_rite_stuff;2018-09-26 15:35;0;1;"Aaaw just read the other messgs Stay strong & prayers to a fast recovery pic.twitter.com/noCyRrtey5";;;;"1045079356870201344";https://twitter.com/The_rite_stuff/status/1045079356870201344
marco171292;2018-09-26 15:35;0;0;"Sono felice";;;;"1045079356089995265";https://twitter.com/marco171292/status/1045079356089995265
BU_BU_BU_22;2018-09-26 15:35;0;0;"名前みかなんでお好きに呼んでくださーい♡ なんてお呼びしましょうか？";;;;"1045079353485185024";https://twitter.com/BU_BU_BU_22/status/1045079353485185024
TNN55;2018-09-26 15:35;0;0;"ぐっも〜に〜ん 今日も蟻ちゃんにとって、いい一日になりますように 木曜日は緑か〜 今日は九州・中国・四国は大体晴れそう 近畿・北陸は日中は次第に陽が差しそう 東海・関東は昼頃にかけて雨が降りやすい状況になりそう 今日も元気にいきまっしょい ＼＼\\٩( 'ω' )و //／／";埼玉県 春日部市;;;"1045079349018251265";https://twitter.com/TNN55/status/1045079349018251265
KrnM0212h17;2018-09-26 15:35;0;0;"分かります、血小板ちゃん可愛いですよね";ウジくんガチ恋枠の大学生;;;"1045079347726495744";https://twitter.com/KrnM0212h17/status/1045079347726495744
tegotego_0927;2018-09-26 15:35;0;0;"やったぁ✌︎♡こちらこそ";NEWSについていく。;;;"1045079346229039104";https://twitter.com/tegotego_0927/status/1045079346229039104
MissMotown_;2018-09-26 15:35;0;1;"If anyone wants to give me or contribute to a J Cole concert ticket as a late birthday gift by all means feel free";The Queendom;;;"1045079345956605953";https://twitter.com/MissMotown_/status/1045079345956605953
NDS_626;2018-09-26 15:35;0;0;"اوف ولله الحمد";Santiago Bernabue;;;"1045079344622768129";https://twitter.com/NDS_626/status/1045079344622768129
Hc2CVbxowyYryjZ;2018-09-26 15:35;0;0;"したいですーー仲良くさせてください";かんさい;;;"1045079344274534400";https://twitter.com/Hc2CVbxowyYryjZ/status/1045079344274534400
