username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
withikonic;2018-09-21 08:11;0;0;"Woah! Enjoy the party.";renaître de ses cendres;;;"1043155793250463744";https://twitter.com/withikonic/status/1043155793250463744
rikuto1637;2018-09-21 08:11;0;0;"凛葵さん！お誕生日おめでとうございます 素敵な一年になりますように";三条県石切郡右石村石切丸45;;;"1043155792646434816";https://twitter.com/rikuto1637/status/1043155792646434816
schwanz_b;2018-09-21 08:11;0;0;"幸子";;;;"1043155792268906496";https://twitter.com/schwanz_b/status/1043155792268906496
kxznn;2018-09-21 08:11;0;0;"ขี้เกียจปั่นงาน";;;;"1043155792239591424";https://twitter.com/kxznn/status/1043155792239591424
lucianacaneda;2018-09-21 08:11;0;0;"La que envidia es puta en Tigre Partido https://www.instagram.com/p/Bn_iLskBaXyGAxjwKGUDTqXYlP2EhBwizkBK3s0/?utm_source=ig_twitter_share&igshid=1s6ru29dy8cmg …";ciudad evita;;;"1043155792109527040";https://twitter.com/lucianacaneda/status/1043155792109527040
norishio_peto;2018-09-21 08:11;0;0;"ぺんちゃんお誕生日おめでとう〜〜〜〜〜〜！！！！！今日はぺんちゃんの大好きなものを食べて幸せになって〜〜〜私もおいしいもの食べてハッピーする…フフ…ぺんちゃんにとってステキなお誕生日になりますように";絶対的ハッピーエンド主義者;;;"1043155792071778304";https://twitter.com/norishio_peto/status/1043155792071778304
I_am_Tommyco;2018-09-21 08:11;0;0;"見かけたら絡みにいくね！！ 改めてよろしく";オ・オサカ 🐳;;;"1043155791971119105";https://twitter.com/I_am_Tommyco/status/1043155791971119105
Fuwa_____rin;2018-09-21 08:11;0;0;"フォローありがとうございます こちらこそ仲良くしてくださると嬉しいです わぁぁっ!ありがとうございます是非応援してくださると嬉しいです〜(*´˘`*)";;;;"1043155791878864896";https://twitter.com/Fuwa_____rin/status/1043155791878864896
Mica112480;2018-09-21 08:11;0;0;"26- Morderme los labios y las uñas. @ BTS_twt # BTS # BTSARMY # MPN";Buenos Aires, Argentina;@;# # #;"1043155791476346880";https://twitter.com/Mica112480/status/1043155791476346880
Yeolbaby61;2018-09-21 08:11;0;0;"imagine waking up every morning with this person looking at you pic.twitter.com/fnGyskMqD5";;;;"1043155791325233152";https://twitter.com/Yeolbaby61/status/1043155791325233152
